# icr-intercell gene name dictionary v0.2
#
# jamesc@icr.ac.uk, 13th May 2014
#
# This file is used as a dictionary to standardise gene names in different data sets
# Cell line names found in the first column (alias) should be converted to those
# given in the second column (gene_name).
#
# Gene name information was extracted from columns 4 and 7 in the file:
# 	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Homo_sapiens.gene_info.gz
#
# This version contains 102615 alia for 47634 distinct gene names
#
# Changes: 
#   changed HGF\tSOS1 to HGF\tHGF
#	changed APC\tPROC to APC\APC
# need to address the issue of an official gene name being an alias for another gene...
#
#alias	gene_name
DDC8	TIMP2
TRIM49C	TRIM49C
SNX11	SNX11
PPP1R36	PPP1R36
LPCAT4	LPCAT4
PSI6	PCDHGB9P
miRNA130A	MIR130A
LOC101930567	LOC101930567
LOC100421100	LOC100421100
OR5B16	OR5B12
FRA5D	FRA5D
ILPIP	STRADB
LOC101927872	LOC101927872
LOC100420018	LOC100420018
GRCC8	CDCA3
RPS26P55	RPS26P55
KTCN6	KTCN6
MIR4637	MIR4637
TIFa	IL22
PR47	MAGI2-IT1
NPIPL3	NPIPB3
ENaCdelta	SCNN1D
SRGAP1	SRGAP1
PRO1280	SUFU
T2R50	TAS2R50
MC2R	MC2R
PAM18	DNAJC19
APO2L	TNFSF10
dJ494G10.1	APOBEC3G
FUT11	FUT11
LRRC35	TBCEL
USP33	USP33
BMZF-3	ZNF256
RPL7P47	RPL7P47
RYKL1	RYKP1
HEL-S-55	PRDX5
HCP39	CYCSP39
hsa-mir-1-2	MIR1-2
SPF27	BCAS2
GUC1B3	GUCY1B3
RN49018	ALS2CL
TCRBV7S2A1N4T	TRBV4-3
14q(II-13)	SNORD114-13
FBX8	FBXO8
NIRF	UHRF2
HSM1	EMC10
RPS16P9	RPS16P9
TMEM157	FAM174A
CSA2	IK
HOD	HOPX
EPM2B	NHLRC1
WDR44	WDR44
CLN4B	DNAJC5
IGLVVI-25-1	IGLVVI-25-1
RPS20_10_984	RPS20P24
LRANK1	LRRN2
RNPEP	RNPEP
GAGE-1	GAGE1
LOC653653	LOC653653
TNFR1B	TNFRSF1B
LOC101927495	LOC101927495
GRPR	GRPR
LOC101930095	LOC101930095
CT137	ATAD2
ST3N	ST3GAL3
FKHL13	FOXJ1
CTS02	CTSK
ZBBX	ZBBX
RPS20_7_863	RPS20P19
LOC101927550	LOC101927550
SNORD1B	SNORD1B
DCAF13	DCAF13
HTRA1	HTRA1
LOC102724582	LOC102724582
HST2	FGF6
RPL36A_16_1155	RPL36AP38
MAT1H	PEA15
SPATA31C1	SPATA31C1
MHP	CACNA1A
IGHD619	IGHD6-19
MCOPS9	STRA6
DERP9	VPS25
MIR4470	MIR4470
PTLS	PTLS
MED15P4	MED15P4
LOC100420149	LOC100420149
CHDR	AKR1C4
UTP5	WDR43
dJ591C20.1	ABHD16B
HADHB	HADHB
DHX29	DHX29
TUSC2P1	TUSC2P1
Hek6	EPHB1
FBH2	GNA11
PLXNB2	PLXNB2
IGHV4-59	IGHV4-59
IIDS6411	C2orf66
KAP18-2	KRTAP10-2
GAS2	GAS2
CGI45	ADIPOR1
C20orf69	LINC00266-1
TCRBV27S1	TRBV27
LOC651959	LOC651959
PAP39	PRPSAP1
RPS15_4_1197	RPS15P7
RNU6-15P	RNU6-15P
NMNAT1P3	NMNAT1P3
BASH	BLNK
CCDC85C	CCDC85C
PROTOR2	PRR5L
MT-PRORS	PARS2
NSFL1C	NSFL1C
MRD1	MBD5
ITGAX	ITGAX
BRCTx	ANKRD32
MT-MMP2	MMP16
MIRN197	MIR197
TLAA	XRCC6
GNG7	GNG7
CLUHP5	CLUHP5
RNU7-1	RNU7-1
KRTAP1.4	KRTAP1-4
LOC642817	LOC642817
CRS3	CRISP3
ATP6B1B2	ATP6V1B2
ASD8	CITED2
CKR4	CCR4
LOC102724693	LOC102724693
ODC1	SLC25A21
DNHL1	DNAH6
CG6	FRRS1L
PPP6CP	PPP6CP
ZFYVE16	ZFYVE16
CBFA2	RUNX1
OI12	SP7
SEC9	SNAP25
SNEV	PRPF19
AF1	EFNA5
OR10G10P	OR10G9
LINC00421	LINC00421
LOC101060791	LOC101060791
LJAK	JAK3
DCDC3B	DCLK2
MIR6859-2	MIR6859-2
SCC-S2	TNFAIP8
LOC102724333	LOC102724333
LOC102724643	LOC102724643
LOC102723474	LOC102723474
ATC	ATM
GLC1J	GLC1J
C16orf79	BRICD5
Mic-1	C18orf8
AOC4P	AOC4P
HIST1H3PS1	HIST1H3PS1
LOC284263	LOC284263
RNA5SP19	RNA5SP19
PIPPIN	CSDC2
C16orf58	C16orf58
SPACIA1	SAAL1
ASH2L	ASH2L
CNTNAP5	CNTNAP5
SAPKK-3	MAP2K6
TCRBJ1S6	TRBJ1-6
RPL7AP36	RPL7AP36
MDDGB6	LARGE
RPE2-1	RPE
SKI8	WDR61
MIR3915	MIR3915
PCDHGA11	PCDHGA11
KV6.3	KCNG3
RPAP2P1	RPAP2P1
C10orf52	LINC00614
NEGF1	PTN
FRA2F	FRA2F
MIR670HG	MIR670HG
RPL35A	RPL35A
HOX1.8	HOXA10
LOC101929457	LOC101929457
AOMS1	AOMS1
SLC41A1	SLC41A1
LRCH1	LRCH1
LY6G5B	LY6G5B
OR11-317	OR8B12
MIR3666	MIR3666
RC74	INTS9
LOC101929076	LOC101929076
LOC101929220	LOC101929220
ADTB3A	AP3B1
MAP4K2	MAP4K2
BLOC1S8	DTNBP1
LOC102725136	LOC102725136
SWIP1	WSB1
UDPGT 1-5	UGT1A5
hsa-mir-203a	MIR203A
SULF1	SULF1
SED5	STX5
ELOVL1	ELOVL1
C11orf48	C11orf48
PIK4CA	PI4KA
MDM35	TRIAP1
KCNV1	KCNV1
DTD2	DTD2
EGRA	KLF10
ACP1	ACP1
KSHIVB	KCND3
RNA5SP320	RNA5SP320
ZMYM2	ZMYM2
HTPCRX18	OR2M4
HIP3RP	ZDHHC13
LOC729680	LOC729680
CD253	TNFSF10
ZFP160L	ZNF665
RAB45	RASEF
CLTNM	AP1M1
NACED	NAT8L
LOC102725334	LOC102725334
SUCLA2P3	SUCLA2P3
C9orf69	C9orf69
C2orf15	C2orf15
CDV3P1	CDV3P1
caMKN	PPM1E
MIR566	MIR566
FTCDNL1	FTCDNL1
LOC439994	LOC439994
hsa-mir-1972	MIR1972-1
SFRS13	SRSF10
PGT	SLCO2A1
RPS17_6_804	RPS17P13
LOC100131510	LOC100131510
LINC00176	LINC00176
OR11I1P	OR11I1P
PGAM-M	PGAM2
MRP-L58	ICT1
NOP5	NOP58
LYAAT1	SLC36A1
NCRNA00288	KIRREL3-AS3
MIR4482-1	MIR4482
PATE-B	PATE4
CPT1	CHPT1
TRNAI15	TRNAI15
ENPP7P9	ENPP7P9
CHADL	CHADL
MAGEA11	MAGEA11
STQTL16	STQTL16
TWF1P2	TWF1P2
EAT	MCL1
VMA8	ATP6V1D
mTERFL	MTERFD3
IGKVP5	IGKV1OR22-1
DFNA42	DFNA42
RPL15P16	RPL15P16
SAST170	MAST1
ERMN	ERMN
LOC102723789	LOC102723789
MIRN1229	MIR1229
SIM2	SIM2
RPL26P23	RPL26P23
U45b	SNORD45B
LOC102724716	LOC102724716
LOC100288010	LOC100288010
LOC285074	LOC285074
FKBP12.6	FKBP1B
KIAA1914	AFAP1L2
hADV36S1	TRAV36DV7
ARPG836	DHRS11
C4orf34	SMIM14
SMIT	SLC5A3
CDKN1	CDKN1A
GAGE-2E	GAGE2E
TRBJ14	TRBJ1-4
MPVQTL4	MPVQTL4
LOC100132292	LOC100132292
C22orf39	C22orf39
DENTT	TSPYL2
GPX1P1	GPX1P1
OR6C65	OR6C65
STAG3L2	STAG3L2
LOC101928253	LOC101928253
D53	TPD52L1
HXC26	FAM50A
STHAG3	PAX9
MRPS6	MRPS6
ABCB11	ABCB11
MIR1266	MIR1266
OTULIN	OTULIN
CAC1	CACUL1
CTD-2337A12.1	CTD-2337A12.1
hcp-1	CENPF
LOC101930595	LOC101930595
DAP-1-BETA	DLGAP1
LOC101928808	LOC101928808
LOC100287453	LOC100287453
CS3	MYOZ3
TAAR1	TAAR1
MIR5708	MIR5708
SCYLP	PPIB
YKL-39	CHI3L2
PER1	PER1
TIMM50	TIMM50
ZSIG51	GPHA2
ATP6C	ATP6V1C1
BDPLT1	GP1BB
hsa-mir-6070	MIR6070
MTMR5	SBF1
NCMS	NRAS
miRNA122A	MIR122
EB9	EBAG9
FAM95A	FAM95A
FAM26C	CALHM1
U7.59	RNU7-59P
MIP-T3	TRAF3IP1
MMVP3	MMVP3
IGHD5OR15-5B	IGHD5OR15-5B
SHOX	SHOX
RPL37P13	RPL37P13
LOC100996758	LOC100996758
NOCIR	OPRL1
STAMP2	STEAP4
C9orf10OS	FAM120AOS
TMEM232	TMEM232
OR8-122	OR5B1P
IGHV1OR162	IGHV1OR16-2
IGHD1-7	IGHD1-7
LOC102723724	LOC102723724
BCL6B	BCL6B
KIAA1533	GRAMD1A
RP26	CERKL
MINOS1	MINOS1
FMO 2	FMO2
CT145	RGS22
RPS6P24	RPS6P24
DEspR	DEAR
C1orf170	PERM1
C22orf15	C22orf15
CXorf65	CXorf65
SEPT11	SEPT11
LOC554249	LOC554249
MIR4500HG	MIR4500HG
CAIX	CA9
SEC15B	EXOC6B
HIAP2	BIRC2
VIP-21	CAV3
NSEP1	YBX1
C2orf60	TYW5
IFIT6P	IFIT6P
EIF3E	EIF3E
hsa-mir-6831	MIR6831
LOC100288637	LOC100288637
ST13P12	ST13P12
ZNF814	ZNF814
LOC101060524	LOC101060524
RNY4P10	RNY4P10
TLE4	TLE4
BW16	BW16
TLK2	TLK2
OBPIIb	OBP2B
HNRNPLP2	HNRNPLP2
HIBADH	HIBADH
IGFBP3	IGFBP3
DXS9879E	LAGE3
MIRN1257	MIR1257
C6orf193	KDM1B
ARHGAP24	ARHGAP24
MIR3941	MIR3941
LQT9	CAV3
LOC100421358	LOC100421358
HCF2	HCFC2
IGHD221	IGHD2-21
MLR	NR3C2
C21orf24	LINC00114
COL11A1	COL11A1
IGHV3-35	IGHV3-35
CD4mut	CD4
NR61	NR6A1
RPS15A_10_701	RPS15AP20
FALLOTEIN	PDGFC
RNA5SP208	RNA5SP208
NOPAR	MED12L
hsa-mir-548az	MIR548AZ
H731	PDCD4
INK4	CDKN2A
NBPF14	NBPF14
PLA2G12A	PLA2G12A
TPTE2P6	TPTE2P6
MGC16142	MGC16142
HOX3@	HOXC@
MIR6733	MIR6733
C6orf94	ZC2HC1B
NKX2-2	NKX2-2
C14orf13	OR4Q3
P450IIC19	CYP2C19
BRN1	POU3F3
PIK3R6	PIK3R6
CSIF	IL10
CEM-15	APOBEC3G
PRRP	PRLH
CENP-28	MEAF6
IFNRP	IFRD2
MT5MMP	MMP24
PNMA3	PNMA3
RIBB	RIT1
TCRBV7S3A2	TRBV4-2
IGLV4-60	IGLV4-60
ACA39	SNORA71E
OR5E1	OR5E1P
SMIM2	SMIM2
hsyn10	STX10
ATPBD4	DPH6
LOC100420515	LOC100420515
HR23A	RAD23A
OFC4	OFC4
MTU1	TRMU
RNU6-69	RNU6-69P
APC7	SCARA3
KST	SERPINA4
LOC100128122	LOC100128122
NCRNA00126	TTTY5
MIRN365-2	MIR365B
hsa-mir-766	MIR766
V	RASGRP1
CLEC-6	CLEC4D
ELD	ARID1A
GAP1IP4BP	RASA3
HIST1H3J	HIST1H3J
STQTL20	STQTL20
CLA2	ATP2B3
RPL7A_13_964	RPL7AP47
LBH	C6orf1
MTD	MT1E
PTDSS2	PTDSS2
NFU1	NFU1
C18orf61	C18orf61
bcm182	RPL18AP3
MENA	ENAH
CLYBL-AS2	CLYBL-AS2
RPS27AP11	RPS27AP11
ANKRD14	ANKS6
GLP2R	GLP2R
OLFmf3	OR2C1
DYNLT3	DYNLT3
FKBP11	FKBP11
HSTPCR27	OR1C1
FLII	FLII
SUMO1P1	SUMO1P1
FKBP6	FKBP6
FLJ31945	FLJ31945
TWIST1	TWIST1
EPO	EPX
IGKV3D25	IGKV3D-25
LOC102723607	LOC102723607
ZNF682	ZNF682
HLC14-06-P	ITPA
HP09025	HP09025
CAF-1	CHAF1A
MAFF	MAFF
HTSS2	KRT74
RN5S404	RNA5SP404
VDAC1P6	VDAC1P6
LIN1	CD2BP2
KIR2DL5A	KIR2DL5A
MSK10	MSK10
C1DELp32p31	DEL1P32P31
GAPDHP16	GAPDHP16
A1-5	ZNF2
CSNB1D	SLC24A1
CRBP-III	RBP5
PACIP1	PAXIP1
FYVE-CENT	ZFYVE26
CYCSP1	CYCSP1
NCRNA00328B	LINC00328-2P
bA85L21.1	NCLP2
CD150	SLAMF1
RDPA	RDPA
PRAMEF8	PRAMEF8
NEK2	NEK2
C17orf106	TEN1
GCX-1	TOX2
LOC102725374	LOC102725374
XIP	LAMTOR5
LOC101927845	LOC101927845
VWA3B	VWA3B
DESI	DESI2
DGAT2L5	MOGAT2
OR5BU1	OR14I1
LOC391383	LOC391383
PI14	SERPINI2
MTND2P25	MTND2P25
CT50	LEMD1
ZNF251	ZNF251
RPP38	RPP38
MIRN331	MIR331
gamma-BBH	BBOX1
RNA5SP24	RNA5SP24
WBSCR16	WBSCR16
TDGF1P3	TDGF1P3
THM	THMA
HLS5	TRIM35
HUSPECV	SPTBN5
MHB	MHB
CTIP1	BCL11A
ASTL	ASTL
LOC100132605	LOC100132605
ZADH2	ZADH2
ZSCAN7	ZNF165
bA12D24.1.1	RLN2
MLLT4	MLLT4
RNU7-36P	RNU7-36P
TRMT2A	TRMT2A
MEF2C	MEF2C
SYN1A	STX1A
SNORD114-13	SNORD114-13
dJ71N10.1	AHI1
MAST4-AS1	MAST4-AS1
C7orf21	TMUB1
MYB	MYB
LOC102724182	LOC102724182
XRCC2	XRCC2
LOC100418499	LOC100418499
LBFP	EHHADH
MIR4444	MIR4444-1
hsa-mir-612	MIR612
OR6X1	OR6X1
RN5S210	RNA5SP210
RN5S122	RNA5SP122
NFI-A	NFIA
NARSP1	NARSP1
D14S1460	BANF1P1
NARR	NARR
LOC102724848	LOC102724848
SDR1	NPTN
SLC9B1P3	SLC9B1P3
LOC100289580	LOC100289580
TRNAM8	TRNAM8
CALNA1	PPP3CA
LOC388780	LOC388780
DLGAP1-AS1	DLGAP1-AS1
RPS29P13	RPS29P13
HBBD	SCN5A
MIR26B	MIR26B
COX5A	COX5A
EIF6	EIF6
RN5S54	RNA5SP54
LOC101927137	LOC101927137
RPL10P9	RPL10P9
IGLV949	IGLV9-49
SEMG1	SEMG1
TRNAY11	TRNAY11
MEF2C-AS1	MEF2C-AS1
DJ39G22.4	COL9A2
SMCT	SLC5A8
Car3	CA3
IB291	GTF2I
WNK2	WNK2
HPC4	HPC4
WVS2	EZH2
LOC101928655	LOC101928655
LOC100126584	LOC100126584
OST205	OR7E31P
WIF-1	WIF1
LAVS3040	BRD9
RLBP1	RLBP1
CD300C	CD300C
RPL24_1_692	RPL24P4
LFR	ITLN1
eIF3-p36	EIF3I
YAP2	YAP1
RalGAPbeta	RALGAPB
RNA5SP504	RNA5SP504
MIR451A	MIR451A
CHCHD2P10	CHCHD2P10
RNA5SP407	RNA5SP407
RPS24P13	RPS24P13
ASTQTL1	GOT1
NBEAL1	NBEAL1
LOC102724087	LOC102724087
LINC00366	LINC00366
MRP-S13	MRPS26
HOXC13	HOXC13
LOC101930540	LOC101930540
LOC101929273	LOC101929273
M-RAs	MRAS
PP4	PPP4C
RPL7AP73	RPL7AP73
MIR5586	MIR5586
dJ18C9.2	GGT7
SEMAQ	SEMA6A
OR10AC1	OR10AC1P
C8orf45	MCMDC2
RPL31_6_464	RPL31P25
STX18-AS1	STX18-AS1
TRNAC31P	TRNAC31P
COL20A1	COL20A1
KLF8P1	KLF8P1
UBE2V1P2	UBE2V1P2
ABCF2P2	ABCF2P2
ATP6E2	ATP6V1E1
UGT1G	UGT1A7
MPYS	TMEM173
MIR6748	MIR6748
Dim2	TXNL4B
RIM-4	RIMS4
hsa-mir-6771	MIR6771
CDRT7	CDRT7
RPSAP22	RPSAP22
MGST-IV	PTGES
LEP16	LCE3D
HSP28	HSPB1
ARCC2	CTPP
MIRN1307	MIR1307
43	TAF8
LOC101927763	LOC101927763
hs6M1-23	OR2U2P
RPL33L	MRPL33
SLC39A14	SLC39A14
B120	ARID1A
CMS1B	DOK7
FAM164A	ZC2HC1A
RPS2P8	RPS2P8
ME20M	PMEL
LY6LS	SLURP1
NCRNA00284	LINC00284
RN5S220	RNA5SP220
HD9	HDAC9
miRNA9-2	MIR9-2
OR7E144P	OR7E11P
RAB7L1	RAB29
RP33	SNRNP200
LOC101927767	LOC101927767
SNARK	NUAK2
PSP-C	SFTPC
HsT2789	RAC1P1
ABCG1	ABCG1
ZMYND2	RUNX1T1
RNU72	SNORA72
AQP-5	AQP5
ZNF922	ZBTB39
ARL11	ARL11
ARAF2P	ARAF2P
CSO	CRS
PIUS	IP6K2
APOARGC	LPAL2
ZACRP7	C1QTNF7
FAM207CP	FAM207CP
DSCAML1	DSCAML1
RPL26_3_532	RPL26P16
ARVD11	DSC2
ZNF890P	ZNF890P
MIR4485	MIR4485
OR19-15	OR7G1
IFNRC	TMEM50A
INTU	INTU
LOC102725489	LOC102725489
hsa-mir-6728	MIR6728
DNM1DN11.6	DNM1P41
ARP4	ANGPTL4
p12DOC-1	CDK2AP1
APCDD1L	APCDD1L
ZCCHC4	ZCCHC4
OR7E104P	OR7E104P
OR14-19	OR4K1
LINC00482	LINC00482
GPIP4	PIP
ZNF392	ZSCAN16
RPS3AP6	RPS3AP6
TRAV81	TRAV8-1
DDX27	DDX27
ASB8	ASB8
bA479K20.2	SETX
C1orf101	C1orf101
LOC102725149	LOC102725149
GS1-24F4.2	GS1-24F4.2
LOC100131792	LOC100131792
PP2CGAMMA	PPM1G
RPS4XP16	RPS4XP16
LOC646970	LOC646970
COPD5	COPD5
ZNF43	ZNF43
RPSA_5_268	RPSAP23
RPS26P40	RPS26P40
TAHCCP1	SPG20
FAM90A13P	FAM90A13P
GalNAc-T16	GALNT16
5-HT3E	HTR3E
MIR8085	MIR8085
BXDC5	RPF1
PDZD1	PDZK1
ORP-2	OSBPL2
NF1P2	NF1P2
PHA2A	PHA2A
ZNF33AP1	ZNF33AP1
MGC:8964	TAF6
FP3235	QTRT1
BWCR	CDKN1C
RPL5P6	RPL5P6
TAZ-1	ZBTB18
MIR1253	MIR1253
GAGE-2A	GAGE2A
HRPB11B	POLR2J2
C20orf122	WFDC12
POX	PRODH
MRPL35P2	MRPL35P2
RAP1GAP2	RAP1GAP2
E2BP-1	TCFL5
NMP200	PRPF19
Ptg-12	ZMAT2
RP7	ROM1
TIGIRR-2	IL1RAPL1
EIEE16	TBC1D24
AUTS8	AUTS8
V1-2	IGLV2-8
ZNF154	ZNF154
EEF1B3	EEF1B2P2
ISCA2P1	ISCA2P1
CDRT12	CDRT12
LIR-1	LILRB1
C6orf205	MUC21
PON1	PON1
LOC102725198	LOC102725198
USH1H	USH1H
NY-CO-43	WNK2
LOC102723699	LOC102723699
COL18A1-AS2	COL18A1-AS2
SRrp130	PNISR
hDGKzeta	DGKZ
ATP4A	ATP4A
CI-30	NDUFS3
WAGR	DEL11P13
BGT1	SLC6A12
DNCH2	DYNC2H1
GNPDA1	GNPDA1
IGFBP-7v	IGFBP7
FANCQ	ERCC4
B1R	BDKRB1
MIR223	MIR223
SDR28C1	HSD17B1
IGHV3-6	IGHV3-6
CABP8	CALN1
CHP3	TESC
EOPA	NDEL1
N-STOP	MAP6
NS5ATP8	BTBD1
TRNAG10	TRNAG10
bHLHc41	TFAP4
HAST4	SULT1A2
MIR3156-1	MIR3156-1
SMARD1	IGHMBP2
TRNAY17P	TRNAY17P
FAAP10	STRA13
TATSF1	HTATSF1
ATOD4	SOCS3
PART1	PART1
PSMB6	PSMB6
C7orf17	CHCHD2
dgt5	HAUS5
CEACAMP1	CEACAMP1
RPS15A_12_849	RPS15AP23
IGKV1OR2108	IGKV1OR2-108
ALX	HSH2D
v-SNARE	VTI1B
FBD	ITM2B
OR2H5P	OR2H5P
RNU1A	RNU1-1
EXO5	EXO5
CENP-36	KANSL1
CD3H	CD247
LINC00448	LINC00448
RPL21_31_868	RPL21P76
ITPKB-IT1	ITPKB-IT1
SNORD115-20	SNORD115-20
OR13G1	OR13G1
TIP-33	LIN7A
COTE1	FAM189B
PAP41	PRPSAP2
HSD17B11	HSD17B11
MDC1C	FKRP
KIF18B	KIF18B
SELN	SEPN1
MMA-1b	DSCR8
EA5	CACNB4
hIKCa1	KCNN4
RNA5SP453	RNA5SP453
PR48	PPP2R3B
RKIP	PEBP1
RPSA_6_295	RPSAP24
ALDOS	CYP11B2
BRESI1	EPSTI1
LOC102724867	LOC102724867
SCYB12	CXCL12
SDR7C1	RDH11
NEW1CP	ZDHHC14
GPR80	OXGR1
BBIP10	BBIP1
LOC100132606	LOC100132606
PNC2	SLC25A36
PTPLC	PTPLC
kappaB-Ras1	NKIRAS1
MIR7112-2	MIR7112
APBB1	APBB1
FRODO	DACT1
MCDC1	CHST6
ERICH1-AS1	ERICH1-AS1
CHD3	CHD3
RNASE2	RNASE2
BHLHB8	BHLHA15
CASP	CRTAP
PIB5PA	INPP5J
PPP1R72	CSRNP2
FAM71BP1	FAM71BP1
FAT2	FAT2
LOC100996716	LOC100996716
PCDH-ALPHA8	PCDHA8
envK3	ERVK-19
ZNF81	ZNF81
LOC101930136	LOC101930136
OR5P4P	OR5P4P
RPL7_23_1260	RPL7P43
LRRC4	LRRC4
IGFBP7	IGFBP7
ZNF318	ZNF318
FBB18	C21orf59
SIRT4	SIRT4
POTEE	POTEE
ABHD12A	ABHD12
DOORS	TBC1D24
DSMA4	PLEKHG5
LOC400464	LOC400464
OR10J9P	OR10J9P
TRESMCR	TRESMCR
PGGT1BP1	PGGT1BP1
SMCX	KDM5C
EXOSC10	EXOSC10
T2R54	TAS2R46
RPL32_23_1737	RPL32P5
SOM172	PPP1R14B
HLN	GNPDA1
MSE55	CDC42EP1
PACS2	PACS2
C19orf36	IZUMO4
LOC100129361	LOC100129361
hsa-mir-598	MIR598
LOC102723624	LOC102723624
CTS1	TTR
c14_5376	C14orf37
MIR1302-4	MIR1302-4
PLEKHG2	PLEKHG2
SNM1A	DCLRE1A
FBRSL1	FBRSL1
STK18	PLK4
U3.5	RNU3P3
PPIAP23	PPIAP23
SKOR2	SKOR2
CCRN4L	CCRN4L
RNU56	SNORD56
SPANXF2	SPANXB1
SLC2C	SLC4A3
EMC3	EMC3
PRKRIRP9	PRKRIRP9
dJ85M6.4	DEPDC7
DFCTRPS	DFCTRPS
TRPC7	TRPC7
IDNK	IDNK
Z3CXXC1	RTP1
ESTRR	ESR1
CFLP2	CFL1P2
KRT127P	KRT127P
LOC100286922	LOC100286922
RPL5_15_1754	RPL5P34
MOB5	IL24
RPS13	RPS13
ZNF901	HIC1
dJ676J13.1	CYB5R4
FADS2	FADS2
ET-A	EDNRA
hsa-mir-7703	MIR7703
SHCBP1L	SHCBP1L
HTR3	HTR3A
LOC101926966	LOC101926966
LOC100422101	LOC100422101
AAASb	AAAS
P101-PI3K	PIK3R5
URP2SF	FERMT3
ZNF543	ZNF543
MTND4P12	MTND4P12
ESRRG	ESRRG
MIR4683	MIR4683
PTGFR	PTGFR
K2p9.1	KCNK9
PSIP1P2	PSIP1P2
PENT	PNMT
BPIFC	BPIFC
RPS15A_16_1058	RPS15AP28
KIAA0196	KIAA0196
GPR12	GPR12
SCOCP1	SCOCP1
IGKV2-19	IGKV2-19
RNA5SP89	RNA5SP89
CST9	CST9
UPIB	UPK1B
PRO0618	SORBS2
ZNF381P	ZNF736P3Y
ANG-3	ANGPT4
PCDHA11	PCDHA11
SYCL	SDCBP
ADAP6	AKAP6
BRK1P2	BRK1P2
CTSP-1	ANKRD30BP2
LOC100289060	LOC100289060
R-PTP-GAMMA	PTPRG
AHUS5	C3
LOC100506787	LOC100506787
TRNAN26	TRNAN26
MYBPC	MYBPC2
ATG8D	GABARAPL3
PRO9898	KRTCAP3
LOC100996609	LOC100996609
ZNF255	ZNF224
LOC102723339	LOC102723339
NCRNA00213	HOTTIP
MTND5P15	MTND5P15
CCDC4	BEND4
LOC101927397	LOC101927397
LL0XNC01-157D4.1	LINC00630
POLA1	POLA1
p60TRP	BHLHB9
OR4C48P	OR4C48P
MRX40	MRX40
ZFP-31	ZSCAN20
CD328	SIGLEC7
LOC284219	LOC284219
ASY	RTN4
KIAA1018	FAN1
RN5S419	RNA5SP419
LOC100130417	LOC100130417
HSPC182	SSU72
C9orf36	SPATA31A1
LOC101928311	LOC101928311
hCREM-2	CREM
MIRN146A	MIR146A
HECW2	HECW2
MIR4729	MIR4729
AHDS	SLC16A2
LOC102723550	LOC102723550
GLUT4	SLC2A4
SPATA35	MAEL
VMCM	TEK
ALPHA2BAR	ADRA2B
LOC101929524	LOC101929524
hsa-mir-425	MIR425
PPIAL2	PPIAP10
OR14A2	OR14A2
OR1-17	OR6K2
ATP6N1D	ATP6V0A2
BTBD16	BTBD16
LOC100289269	LOC100289269
HCP12	CYCSP12
ZPC	ZP3
KCNQ1OT1	KCNQ1OT1
RNU6-83P	RNU6-83P
ZNF816-ZNF321P	ZNF816-ZNF321P
NIL2A	ZEB1
PITHD1	PITHD1
BACE1-AS1	BACE1-AS
RPMS13	MRPS26
LOC101929747	LOC101929747
PPP1R19	URI1
RNF216P1	RNF216P1
DPM3	DPM3
C22orf42	C22orf42
hsa-mir-1279	MIR1279
SHK	SHPK
ELA1	CELA1
EVI27	IL17RB
TH	TH
TRBJ25	TRBJ2-5
CLLS1	CLLS1
POSH2	SH3RF3
OSRC	RB1
LOC102724781	LOC102724781
ASOD	ASMD
APPILS	ERAP1
INSP5K2	IPPK
MIRN543	MIR543
ACP33	SPG21
C21orf8	BACH1-IT3
bA218C14.1	CST9L
LOC102723461	LOC102723461
p54a	MAPK9
hsRPB2	POLR2B
FMC1	C7orf55
BNIP3P1	BNIP3P1
UNGP1	UNGP1
MRIP2	AGAP4
MIRN506	MIR506
MIRN516B2	MIR516B2
semaZ	SEMA6B
RMD1	RMND1
SIGLECP15	SIGLEC31P
LOC100507547	LOC100507547
ROCK1P1	ROCK1P1
RPL31P10	RPL31P10
HH8	KISS1R
HCE1	RNGTT
MIR548A3	MIR548A3
HOGG1	OGG1
RNY4P26	RNY4P26
pH2B.i	HIST1H2BPS2
KV-BETA-1	KCNAB1
SPEF1	SPEF1
YSK4	MAP3K19
LOC101929574	LOC101929574
LOC102723720	LOC102723720
PTK4	TXK
HOMER2P1	HOMER2P1
DBPA	YBX3
bA287B20.1	RALGAPA2
SAMD8	SAMD8
CT35	SPO11
CHIAP2	CHIAP2
SPT4	SUPT4H1
HLA-DMB	HLA-DMB
PFTAIRE1	CDK14
UP3A	UPK3A
ANGEL1	ANGEL1
1F5	CD59
ES31	CES3
ELA3B	CELA3B
PIG-X	PIGX
PLC-I	PLCB1
HLA-A	HLA-A
RPL23AP18	RPL23AP18
RPS6P20	RPS6P20
FAM167A	FAM167A
AMD1P1	AMD1P1
ARSDR1	RDH11
PRED49	LINC00319
ZNF518A	ZNF518A
NT5DC4	NT5DC4
DFNB42	ILDR1
CD226	CD226
RPL21P134	RPL21P134
miRNA34B	MIR34B
RPBh1	POLR2A
AZI	OAZ1
RBMXP3	RBMXP3
CD264	TNFRSF10D
CCDS1	SLC6A8
SCA29	ITPR1
WDR36	WDR36
TPCN2	TPCN2
HVH3	DUSP5
NKSF	IL12B
ATP6C2	ATP6V1C2
LOC391600	LOC391600
DDX52	DDX52
MIR7113	MIR7113
SNX6B	SNX32
TRPT1	TRPT1
LINC01015	LINC01015
TETTRAN	MFSD10
UBA52P7	UBA52P7
